Frame,CS6B7nn_ROI1,CS6B7nn_ROI2,CS6B7nn_ROI3,CS6B7nn_ROI4,CS6B7nn_ROI5,CS6B7nn_ROI6,CS6B7nn_ROI7,CS6B7nn_ROI8,CS6B7nn_ROI9,CS6B7nn_ROI10,CS6B7nn_ROI11,CS6B7nn_ROI12,CS6B7nn_ROI13,CS6B7nn_ROI14,CS6B7nn_ROI15,CS6B7nn_ROI16,CS6B7nn_ROI17,CS6B7nn_ROI18,CS6B7nn_ROI19,CS6B7nn_ROI20,CS6B7nn_ROI21,CS6B7nn_ROI22,CS6B7nn_ROI23,CS6B7nn_ROI24,CS6B7nn_ROI25,CS6B7nn_ROI26,CS6B7nn_ROI27,CS6B7nn_ROI28,CS6B7nn_ROI29,CS6B7nn_ROI30,CS6B7nn_ROI31,CS6B7nn_ROI32,CS6B7nn_ROI33,CS6B7nn_ROI34,CS6B7nn_ROI35,CS6B7nn_ROI36,CS6B7nn_ROI37,CS6B7nn_ROI38,CS6B7nn_ROI39,CS6B7nn_ROI40,CS6B7nn_ROI41,CS6B7nn_ROI42,CS6B7nn_ROI43,CS6B7nn_ROI44,CS6B7nn_ROI45,CS6B7nn_ROI46,CS6B7nn_ROI47,CS6B7nn_ROI48,CS6B7nn_ROI49,CS6B7nn_ROI50,CS6B7nn_ROI51,CS6B7nn_ROI52,CS6B7nn_ROI53,CS6B7nn_ROI54,CS6B7nn_ROI55,CS6B7nn_ROI56,CS6B7nn_ROI57,CS6B7nn_ROI58,CS6B7nn_ROI59,CS6B7nn_ROI60,CS6B7nn_ROI61,CS6B7nn_ROI62,CS6B7nn_ROI63,CS6B7nn_ROI64,CS6B7nn_ROI65,CS6B7nn_ROI66,CS6B7nn_ROI67,CS6B7nn_ROI68,CS6B7nn_ROI69,CS6B7nn_ROI70,CS6B7nn_ROI71,CS6B7nn_ROI72,CS6B7nn_ROI73,CS6B7nn_ROI74,CS6B7nn_ROI75,CS6B7nn_ROI76,CS6B7nn_ROI77,CS6B7nn_ROI78,CS6B7nn_ROI79,CS6B7nn_ROI80,CS6B7nn_ROI81,CS6B7nn_ROI82,CS6B7nn_ROI83,CS6B7nn_ROI84,CS6B7nn_ROI85,CS6B7nn_ROI86,CS6B7nn_ROI87,CS6B7nn_ROI88,CS6B7nn_ROI89,CS6B7nn_ROI90,CS6B7nn_ROI91,CS6B7nn_ROI92,CS6B7nn_ROI93,CS6B7nn_ROI94,CS6B7nn_ROI95,CS6B7nn_ROI96,CS6B7nn_ROI97,CS6B7nn_ROI98,CS6B7nn_ROI99,CS6B7nn_ROI100
1,1891.25,1547,2374.9,2283.5,1167.167,968.583,2497.667,1091.75,1061.375,1822.167,1509,716.909,1711.917,1380.4,743.042,1134.625,968.75,2224.875,2865,2358.375,1835.667,1485.875,1558.667,1241.5,2309.312,2044.667,1196.353,1199.375,1570.8,1193.833,1500.778,1352.667,1177.5,1321.333,1110.222,1108.111,1236.75,1300.778,2178.833,1458.375,1300.222,1454.808,1390.111,1400.875,2072.25,1254.875,1175.2,1230.667,976.375,685.5,945.5,2300.333,1342.812,1314.75,1172.875,985.167,1157,1095.667,976.25,1973.417,1114.654,1096.75,1076.6,1006.438,816.7,1584,1054,1574.5,1504.917,1870,1703.667,1541.833,1628.5,1730.667,1588.167,1521.875,882.667,1794.333,1539.625,1658.222,1349.167,1111,1528.417,1410.375,1016,1540,1304.25,1110.667,1272.556,1616.167,921.833,1560.875,1391.375,3027,2188.25,1841.833,1330.5,2370.05,1878.667,1817.1
2,1912.5,1535.333,2424.1,2244.333,1183.167,946.417,2455,1141.625,1087.375,1819.667,1537.75,745.818,1716.25,1387.4,752.458,1100.375,982,2258.5,2861.833,2332.5,1836.333,1502.5,1524,1205,2322.375,2057.167,1197.647,1213.75,1520.1,1234.333,1494.556,1278.667,1128.1,1302.111,1100.111,1111,1260.5,1329,2161.917,1449.25,1327.778,1486.885,1412.889,1405.5,2078.75,1223.5,1182.85,1236.333,922.75,672.75,978.75,2318,1351.625,1324,1201.125,983.083,1100.25,1067.167,1032.5,1960.333,1118.269,1092.375,1012.7,1035.062,801.5,1658.833,1096.167,1585.75,1519,1756.875,1631.667,1514.167,1515.125,1682.083,1644,1516.875,854.333,1781.5,1505.875,1596.333,1357,1121,1504.583,1395.5,968.25,1544.5,1269.5,1105.333,1285.889,1655,954.167,1542.75,1357.5,3077.333,2185.75,1811.167,1323.375,2334.3,1844.333,1716.9
3,1901.625,1531.667,2430.9,2214.667,1115.5,955.333,2505.5,1119.75,1107.125,1785.333,1518.5,715.273,1714.417,1459.4,741.75,1153.75,988.938,2279.75,2870,2374.375,1811.667,1524.875,1512.667,1214.25,2330.375,2059.167,1190.823,1198.75,1522.1,1172.5,1497.556,1329,1172.6,1308.778,1139.444,1132.556,1284.5,1346.889,2135.917,1435.75,1343.667,1478.962,1437.444,1377.625,2068.25,1215.75,1154.45,1240.222,975.75,688.25,942,2292,1324.938,1303.5,1178.625,985.25,1119.125,1014.5,1036,1965.083,1105.731,1088.5,1042.8,1033.375,832.7,1557.667,1093,1635.375,1499.333,1841,1623.333,1405.833,1598.125,1730.583,1585.5,1562.25,882.833,1771.333,1569.75,1660.444,1384.667,1073.5,1483.167,1373.875,999,1542.5,1268.75,1071.667,1351.778,1692.833,929.833,1597.75,1374.5,3019.833,2226.917,1874.333,1289.875,2375.9,1847.667,1808.7
4,1923.875,1522.111,2455.9,2220.5,1154.333,952,2462,1138,1032.375,1764.667,1608.25,675.636,1713.167,1407.2,735.875,1137.625,965.875,2293.5,2818.167,2366.375,1874,1499.188,1573.833,1177.5,2348,2081.417,1185.294,1172.75,1465.1,1207.833,1480.667,1348.167,1136.8,1345.667,1089.444,1120.111,1262.75,1315.556,2150,1439.375,1295.778,1455.269,1464.444,1383.625,2081,1195.75,1169.3,1273.667,985,685.583,968.25,2326.333,1313.5,1292.75,1191.375,1004.917,1096.25,1066.667,997.75,1974.833,1117.5,1050.75,1007.5,1019.375,819.5,1526.167,1032,1617.375,1497.417,1824,1590.833,1461.667,1576.75,1753.75,1575.5,1531.125,932.5,1795.333,1565.75,1611.333,1429.833,1053.5,1472.833,1334.375,950.25,1514.833,1257.75,1082,1291.889,1603.667,967,1579.75,1401.125,3032.25,2244.917,1850.833,1257.25,2349.65,1776.333,1814.3
5,1986,1495.889,2373.7,2293.667,1193.667,954.167,2485.5,1117.5,1084.875,1763.333,1549,742.818,1736.75,1432,739.667,1154.875,964.688,2278.375,2823.667,2346.75,1868.667,1519.938,1565.333,1256.875,2305.812,2113.25,1188.353,1247.25,1488.3,1200.833,1514.889,1267.5,1172,1344.444,1096.778,1107.333,1351,1339.889,2153.5,1449.375,1352.444,1464.462,1411.667,1385.375,2154.75,1193.75,1193.4,1212.111,968.25,691.333,999.25,2311,1335.062,1304,1174.25,1016.5,1120,1099,1040.25,1980.5,1108.231,1090.375,1025.8,1019.938,852.7,1592.833,1064.833,1623.75,1493.833,1722.875,1603.833,1509.167,1518.375,1716.667,1584.833,1513.75,878.667,1799.167,1544,1646.222,1398.833,1105,1496.583,1326.25,923.5,1556.667,1313.875,1073.167,1345.667,1614.333,920.667,1567.125,1406.375,3051.833,2168.417,1830.5,1272.375,2381.05,1666.667,1801.8
6,1935.5,1559.556,2450.8,2247.333,1159.667,956,2482,1108.5,1050.75,1816.333,1555,690.364,1728.417,1407.6,740,1138.25,964.312,2236.625,2843,2295.5,1774,1528.875,1563.833,1168.375,2326.25,2082.167,1176.412,1203.375,1535.5,1189.833,1485.444,1290.667,1150.5,1317.778,1151,1147.333,1322.75,1329.444,2181.667,1410.875,1294,1483.346,1452.111,1422.875,2105.75,1212,1166.2,1241.889,932.25,681.167,898,2286.167,1323.375,1296.5,1176.625,971.583,1105.25,1088,1024,1959.667,1132.808,1075.25,1029.4,1038.312,796.5,1542.667,1087.333,1604.25,1463.583,1770.625,1593,1510.333,1509.5,1819.583,1532.5,1477,902.667,1835.5,1495.375,1604.111,1383,1113.25,1467.667,1354.375,954,1574.167,1291.75,1055.333,1309.333,1603.167,918.333,1548,1390.875,2983.667,2198.083,1875.333,1301.375,2380.9,1826,1789.9
7,1903.5,1525.444,2393.3,2211.167,1162.833,947.5,2462.667,1131.75,1082.625,1808.5,1593.5,699.909,1736.417,1394.6,748.5,1164.875,987.75,2268,2818,2382,1845.333,1507,1538.833,1187.75,2306.375,2062.917,1195.118,1206.875,1514.7,1217.667,1551.444,1280.833,1151.1,1325.556,1117.556,1141.667,1301,1328.889,2166,1477.125,1347.556,1456.346,1443.333,1466.375,2033.25,1197.125,1176.1,1260.333,962.875,678,958.25,2297.833,1328,1320.25,1149.75,986.583,1084.625,1088.833,1014.5,1960.75,1097.731,1082.25,1025.2,1031.688,803.1,1607.167,1114.667,1548.5,1527.667,1819.875,1522.833,1497.5,1506.5,1744.5,1541.667,1525.875,903,1694.167,1544.625,1592.333,1317.667,1094.5,1469.833,1322.375,971,1574.667,1296.875,1084.333,1295.111,1621.5,936.333,1601.5,1420.625,3008,2200.5,1762,1283.5,2326.3,1789,1820.1
8,1942,1544,2442.8,2209.667,1199.5,970.167,2475.333,1103.25,1054,1831.833,1526.75,686.273,1714.167,1408.6,724.958,1169.125,947.25,2265.875,2829.5,2405.125,1763.667,1549.625,1580.5,1217.75,2317.625,2044.833,1175,1169.125,1523.6,1186,1507.111,1283,1174.1,1325,1103.556,1091.444,1314.75,1360.778,2164.083,1412.25,1361.778,1471,1447.222,1428.375,2130.75,1262.5,1164.5,1227.667,956.625,693.583,998.75,2321.667,1360,1360.25,1185.25,1021.667,1108.25,1056.667,1019.75,2002.667,1104.269,1106.5,1042.2,1023.375,843,1480,1072.333,1578.375,1544.917,1785.25,1609.5,1512.833,1534.25,1698.75,1534,1542.625,916.5,1730.5,1583.625,1644.111,1309.833,1110,1560.667,1379.5,980,1574.833,1287.25,1077.667,1281.889,1617,935.833,1517.25,1362.25,3014.167,2226.667,1774.833,1326.125,2325.5,1732.333,1742
9,1899.375,1523.444,2397.4,2233.667,1176.833,933.667,2478.5,1127.625,1076.125,1790.333,1518.5,681,1736.083,1418.2,732.875,1186.25,973.688,2244.75,2786,2382.125,1825,1493.562,1582.333,1172.625,2285.625,2059.833,1173.706,1191.75,1512.5,1216.667,1511.444,1248.167,1161.5,1317.111,1119.889,1098.222,1351.5,1343.667,2154.667,1427.25,1264,1475.231,1416.222,1507,2066.25,1193,1171.55,1198.444,977.625,680.333,1025.75,2300.833,1360.188,1333.25,1128.75,1007.083,1087.25,1041.333,1058.25,1932.5,1105.692,1078,1044.7,1047.125,818.6,1553.333,1097.333,1573.25,1496.25,1830.125,1559.333,1502.5,1459.5,1700.833,1559.667,1533.5,898.5,1843.5,1534.25,1610.556,1351.167,1105.5,1446.833,1335.25,955.25,1516.333,1322,1137.833,1290.111,1624.5,1000,1538.75,1405,3054.083,2221.083,1816.667,1284,2354.95,1760.667,1701.6
10,1954.875,1523.333,2371,2231,1160.167,965.667,2421.5,1153.5,1101.375,1778.833,1511,735.636,1730.833,1473,726.792,1151.875,974.5,2266.125,2888.833,2367.75,1795.333,1523.062,1639.167,1240.25,2313.188,2049.167,1206.882,1213.125,1542,1229.667,1476.111,1334.833,1166.1,1326.111,1092.333,1095,1381.25,1345.889,2161.25,1419,1342.333,1466.885,1458.778,1462.25,2032.75,1182.125,1164.45,1267.667,944.5,723.917,937.5,2306.833,1333.625,1259,1180.5,1011.583,1092.375,1051.833,998.25,1992.333,1121.923,1088.25,1046.2,998.625,809.4,1551,1046.167,1664.625,1426.917,1745.5,1560.667,1439,1481.375,1756.083,1571.167,1493.75,880,1798.167,1551.25,1593.444,1347.667,1094.25,1491.333,1376.375,967.5,1556.167,1309.25,1111.667,1339.222,1607,849.667,1557,1416.125,3056.417,2204.083,1768.667,1319.75,2311.3,1704,1712.2
