Frame,A1nnROI1,A1nnROI2,A1nnROI3,A1nnROI4,A1nnROI5,A1nnROI6,A1nnROI7,A1nnROI8,A1nnROI9,A1nnROI10,A1nnROI11,A1nnROI12,A1nnROI13,A1nnROI14,A1nnROI15,A2mnROI1,A2mnROI2,A2mnROI3,A2mnROI4,A2mnROI5,A2mnROI6,A2mnROI7,A2mnROI8,A2mnROI9,A2mnROI10,A2mnROI11,A2mnROI12,A2mnROI13,A2mnROI14,A2mnROI15,A2mnROI16,E1niROI1,E1niROI2,E1niROI3,E1niROI4,E1niROI5,E1niROI6,E1niROI7,E1niROI8,E1niROI9,E1niROI10,E1niROI11,E1niROI12,E1niROI13,E1niROI14,E1niROI15,E2miROI1,E2miROI2,E2miROI3,E2miROI4,E2miROI5,E2miROI6,E2miROI7,E2miROI8,E2miROI9,E2miROI10,E2miROI11,E2miROI12,E2miROI13,E2miROI14,E2miROI15
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0.984507356,0.988721805,1.001487084,0.975947905,1.009179385,0.989329958,0.994856595,1.005481983,0.987999669,1.012706384,1,0.981435958,0.981097109,0.979703842,0.993362832,1.009443263,1.027162526,0.983870968,1.013333333,0.992963217,1.014507074,1.033333333,1,1.010090909,0.981481481,0.993389127,1.000453535,1,1.019119251,1.017241379,1.035293287,0.993527292,1.000878808,0.983792175,1.006647573,0.974138823,1.009283951,1.016207792,1.019480266,0.963235294,0.987265046,0.991508618,1.00816434,1.030612245,1.013333333,1,1.002415459,1.005736439,0.989189189,0.987083954,1.019153109,0.991596639,0.968555632,1.022449186,1.00156281,0.972222222,0.98880597,1,1.031007752,0.979381443,0.994413408
3,0.978377173,0.996240602,0.99239463,0.95620208,1.004534395,0.989329958,0.97942638,0.974684324,0.977571795,0.998173933,1.008130081,0.99338815,0.991326909,0.972558766,0.980088496,1.004721631,1.006809339,1,0.986666667,0.982408042,0.996002695,1,1.029239766,1,0.981481481,0.992299037,0.990657173,0.982097187,1,1.003275862,0.988212042,0.997230749,1.003473385,0.986759805,0.986740214,1,1.009283951,1.009766234,0.993493591,0.979779412,0.997489745,1.008440535,1.024624704,1.020408163,1.011111111,1.00703282,1.002415459,1.011472878,0.978378378,0.980625931,1.019153109,0.988795518,0.979037088,0.9887417,1.00156281,0.972222222,1,0.982421053,1.019379845,0.979381443,0.966480447
4,0.956642889,0.992481203,0.990865058,0.95840773,1.004534395,0.978750339,0.984569785,0.987311364,0.972440619,0.990945751,1.040650407,0.977451895,0.970941438,0.973594284,0.991150442,0.990556737,1.013543849,0.991935484,1,0.994699566,1.02510667,1.023333333,0.970760234,1,1,0.9889936,0.999115606,1,1.028707585,1.006568966,1,1.000934205,1.01134081,0.979409213,0.998903858,0.965449467,1.02162963,1,1.012973857,0.977941176,1.010224698,0.991508618,1,1.015306122,1.011111111,0.994154539,0.992753623,0.997131781,1.010810811,0.980625931,1.038421599,1.005602241,0.979037088,1.005595443,0.980626116,0.986111111,0.985074627,1.017578947,1.019379845,0.958762887,1
5,0.956642889,0.966165414,0.989377974,0.951790778,1,0.978750339,0.97942638,0.9710502,0.960357527,0.985467549,1.008130081,0.96024413,0.965159377,0.978668323,0.982300885,1.004721631,1.013543849,0.967741935,0.986666667,0.994699566,1.002649899,1,1.01754386,1.015151515,1,0.995569309,0.997324142,0.992327366,1.009530918,1.007396552,1.011717371,0.994461497,1.000878808,0.97790257,1.001096142,0.974138823,1.03091358,1.012987013,1.025947715,0.970588235,0.997489745,0.983017237,1.00816434,1.025510204,1.024444444,1.0199111,1,0.99142686,0.989189189,0.961251863,1.019153109,1.008403361,1,1.011224593,0.980626116,0.986111111,0.970149254,1,1.011627907,0.969072165,0.988826816
6,0.953633527,0.973684211,0.983302175,0.936561286,0.976885645,0.946830636,0.974282974,0.945672929,0.951750393,0.954728753,1.008130081,0.972196321,0.953521127,0.958372165,0.984513274,1.014113008,1.033971865,0.959677419,1.04,0.989444825,0.997350101,1.006666667,0.994152047,1.015151515,0.99382716,0.994479218,0.999115606,0.984654731,0.985646208,1.008206897,1.035293287,0.989823836,1.003473385,0.97790257,1.004419929,0.974138823,1.03091358,1.016207792,0.986987182,0.970588235,1.010224698,1.033863833,0.975243613,1.040816327,1.011111111,0.988309079,1.012077295,0.997131781,0.994594595,0.974167909,1.076843198,1.022408964,0.97379636,1.011224593,0.976756301,0.972222222,0.98880597,1.017578947,1,0.969072165,0.977653631
7,0.96288453,0.988721805,0.983302175,0.936561286,0.958526875,0.952075233,0.943596897,0.954727441,0.962095506,0.980065434,0.967479675,0.952276002,0.963676798,0.958372165,0.971238938,1.004721631,1.040781203,0.967741935,0.96,0.987662783,1.005254884,1.01,0.994152047,1.035363636,0.962962963,0.985688164,0.992879496,0.99488491,1.009530918,1.009034483,1.035293287,0.993527292,1.004352193,0.991188422,0.987871716,0.965449467,1.015407407,1.025974026,1,0.970588235,1.007653217,0.983017237,0.979391625,1.045918367,1.026666667,1.010534007,0.992753623,1.020077536,0.983783784,0.967709886,1.134533287,1,0.968555632,1.016853743,0.972886485,0.972222222,1.007462687,1,1.015503876,0.958762887,0.983240223
8,0.941150245,0.977443609,0.980243032,0.943073207,0.96306127,0.941495614,0.948653125,0.945672929,0.956881569,0.949250552,0.991869919,0.953632279,0.959303188,0.956352905,0.966814159,1.018834639,1.027162526,0.975806452,1.026666667,0.991181174,0.981495621,1.02,1.005847953,0.994939394,0.962962963,0.986778254,0.989319244,0.99488491,1.028707585,1.008206897,1,0.991658882,1.002594576,0.995571383,1.00555143,1.008585911,1.027753086,1.009766234,1.012973857,0.974264706,1.005142962,1.016931916,0.987621807,1.045918367,0.995555556,1.008189734,0.997584541,1.008604658,0.967567568,0.987083954,0.961463021,0.99719888,0.984277816,1,0.969785672,0.972222222,0.985074627,1,1.011627907,0.948453608,0.966480447
9,0.941150245,0.947368421,0.968133923,0.919021111,0.97235125,0.909575911,0.943596897,0.927563905,0.951750393,0.951076619,0.951219512,0.954988556,0.952038547,0.956352905,0.955752212,1.004721631,1.013543849,0.991935484,0.973333333,1,0.996002695,0.993333333,0.994152047,1.015151515,0.975308642,0.973626837,0.993786566,0.982097187,1.009530918,1.000827586,0.976424084,0.995362338,1.001757616,0.991188422,1.00555143,0.965449467,1.024691358,0.996779221,0.993493591,0.96875,1.010224698,1.008440535,1.00408217,1.020408163,1.004444444,1,0.995169082,0.997131781,0.994594595,0.954864807,1.057690089,1.00280112,0.97379636,1.016853743,0.965122048,0.972222222,0.98880597,0.982421053,1.007751938,0.979381443,0.955307263
10,0.919527419,0.943609023,0.963587695,0.945278857,0.921588144,0.925490551,0.907680237,0.929350169,0.948274435,0.960130868,0.967479675,0.932440451,0.947664937,0.945169307,0.935840708,1.004721631,1.020353188,0.983870968,1,0.992963217,0.992050303,1.02,1.005847953,1.025242424,0.975308642,0.9779872,0.98843485,0.979539642,0.985646208,1.012310345,1,1.096389964,1.132490793,1.110487148,1.069622715,1.043032999,1.135802469,1.159064935,1,1.086397059,1.142900876,1.09320181,1.172767975,1.147959184,1.088888889,1.049199294,0.992753623,0.997131781,0.972972973,0.974167909,1.096111688,0.991596639,0.989518544,0.983146257,0.962021234,0.972222222,0.992537313,0.982421053,0.996124031,0.93814433,0.988826816
